DEBUG   2019-11-17 21:00:46,087 [http-nio-8080-exec-7] com.netreaders.dao.author.AuthorDaoImpl  - Find 1 author(s) by bookID '9'
DEBUG   2019-11-17 21:00:46,088 [http-nio-8080-exec-7] com.netreaders.dao.genres.GenreDaoImpl  - Find 2 genre(s) by bookID '10'
DEBUG   2019-11-17 21:00:46,090 [http-nio-8080-exec-7] com.netreaders.dao.author.AuthorDaoImpl  - Find 1 author(s) by bookID '10'
DEBUG   2019-11-17 21:04:04,711 [http-nio-8080-exec-7] com.netreaders.dao.book.BookDaoImpl  - Find 3 book(s) by authorID '7'
DEBUG   2019-11-17 21:04:04,728 [http-nio-8080-exec-7] com.netreaders.dao.genres.GenreDaoImpl  - Find 2 genre(s) by bookID '8'
DEBUG   2019-11-17 21:04:04,737 [http-nio-8080-exec-7] com.netreaders.dao.author.AuthorDaoImpl  - Find 1 author(s) by bookID '8'
DEBUG   2019-11-17 21:04:04,738 [http-nio-8080-exec-7] com.netreaders.dao.genres.GenreDaoImpl  - Find 4 genre(s) by bookID '9'
DEBUG   2019-11-17 21:04:04,739 [http-nio-8080-exec-7] com.netreaders.dao.author.AuthorDaoImpl  - Find 1 author(s) by bookID '9'
DEBUG   2019-11-17 21:04:04,740 [http-nio-8080-exec-7] com.netreaders.dao.genres.GenreDaoImpl  - Find 2 genre(s) by bookID '10'
DEBUG   2019-11-17 21:04:04,741 [http-nio-8080-exec-7] com.netreaders.dao.author.AuthorDaoImpl  - Find 1 author(s) by bookID '10'
DEBUG   2019-11-17 21:07:04,738 [http-nio-8080-exec-7] com.netreaders.dao.book.BookDaoImpl  - Find 3 book(s) by authorID '7'
DEBUG   2019-11-17 21:07:04,750 [http-nio-8080-exec-7] com.netreaders.dao.genres.GenreDaoImpl  - Find 2 genre(s) by bookID '8'
DEBUG   2019-11-17 21:07:04,760 [http-nio-8080-exec-7] com.netreaders.dao.author.AuthorDaoImpl  - Find 1 author(s) by bookID '8'
DEBUG   2019-11-17 21:07:04,761 [http-nio-8080-exec-7] com.netreaders.dao.genres.GenreDaoImpl  - Find 4 genre(s) by bookID '9'
DEBUG   2019-11-17 21:07:04,762 [http-nio-8080-exec-7] com.netreaders.dao.author.AuthorDaoImpl  - Find 1 author(s) by bookID '9'
DEBUG   2019-11-17 21:07:04,763 [http-nio-8080-exec-7] com.netreaders.dao.genres.GenreDaoImpl  - Find 2 genre(s) by bookID '10'
DEBUG   2019-11-17 21:07:04,764 [http-nio-8080-exec-7] com.netreaders.dao.author.AuthorDaoImpl  - Find 1 author(s) by bookID '10'
DEBUG   2019-11-17 21:08:56,412 [http-nio-8080-exec-7] com.netreaders.dao.book.BookDaoImpl  - Find 3 book(s) by authorID '7'
DEBUG   2019-11-17 21:08:56,424 [http-nio-8080-exec-7] com.netreaders.dao.genres.GenreDaoImpl  - Find 2 genre(s) by bookID '8'
DEBUG   2019-11-17 21:08:56,435 [http-nio-8080-exec-7] com.netreaders.dao.author.AuthorDaoImpl  - Find 1 author(s) by bookID '8'
DEBUG   2019-11-17 21:08:56,436 [http-nio-8080-exec-7] com.netreaders.dao.genres.GenreDaoImpl  - Find 4 genre(s) by bookID '9'
DEBUG   2019-11-17 21:08:56,436 [http-nio-8080-exec-7] com.netreaders.dao.author.AuthorDaoImpl  - Find 1 author(s) by bookID '9'
DEBUG   2019-11-17 21:08:56,437 [http-nio-8080-exec-7] com.netreaders.dao.genres.GenreDaoImpl  - Find 2 genre(s) by bookID '10'
DEBUG   2019-11-17 21:08:56,438 [http-nio-8080-exec-7] com.netreaders.dao.author.AuthorDaoImpl  - Find 1 author(s) by bookID '10'
DEBUG   2019-11-17 21:11:42,218 [http-nio-8080-exec-7] com.netreaders.dao.book.BookDaoImpl  - Find 3 book(s) by authorID '7'
DEBUG   2019-11-17 21:11:42,230 [http-nio-8080-exec-7] com.netreaders.dao.genres.GenreDaoImpl  - Find 2 genre(s) by bookID '8'
DEBUG   2019-11-17 21:11:42,238 [http-nio-8080-exec-7] com.netreaders.dao.author.AuthorDaoImpl  - Find 1 author(s) by bookID '8'
DEBUG   2019-11-17 21:11:42,239 [http-nio-8080-exec-7] com.netreaders.dao.genres.GenreDaoImpl  - Find 4 genre(s) by bookID '9'
DEBUG   2019-11-17 21:11:42,240 [http-nio-8080-exec-7] com.netreaders.dao.author.AuthorDaoImpl  - Find 1 author(s) by bookID '9'
DEBUG   2019-11-17 21:11:42,241 [http-nio-8080-exec-7] com.netreaders.dao.genres.GenreDaoImpl  - Find 2 genre(s) by bookID '10'
DEBUG   2019-11-17 21:11:42,242 [http-nio-8080-exec-7] com.netreaders.dao.author.AuthorDaoImpl  - Find 1 author(s) by bookID '10'
